Absolute path,Relative path,Class name
C:\Users\nasty\ap_laba2\dataset1\rose\0051.jpg,dataset1\rose\0051.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0052.jpg,dataset1\rose\0052.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0053.jpg,dataset1\rose\0053.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0054.jpg,dataset1\rose\0054.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0055.jpg,dataset1\rose\0055.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0056.jpg,dataset1\rose\0056.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0057.jpg,dataset1\rose\0057.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0058.jpg,dataset1\rose\0058.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0059.jpg,dataset1\rose\0059.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0060.jpg,dataset1\rose\0060.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0061.jpg,dataset1\rose\0061.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0062.jpg,dataset1\rose\0062.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0063.jpg,dataset1\rose\0063.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0064.jpg,dataset1\rose\0064.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0065.jpg,dataset1\rose\0065.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0066.jpg,dataset1\rose\0066.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0067.jpg,dataset1\rose\0067.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0068.jpg,dataset1\rose\0068.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0069.jpg,dataset1\rose\0069.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0070.jpg,dataset1\rose\0070.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0071.jpg,dataset1\rose\0071.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0072.jpg,dataset1\rose\0072.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0073.jpg,dataset1\rose\0073.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0074.jpg,dataset1\rose\0074.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0075.jpg,dataset1\rose\0075.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0076.jpg,dataset1\rose\0076.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0077.jpg,dataset1\rose\0077.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0078.jpg,dataset1\rose\0078.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0079.jpg,dataset1\rose\0079.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0080.jpg,dataset1\rose\0080.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0081.jpg,dataset1\rose\0081.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0082.jpg,dataset1\rose\0082.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0083.jpg,dataset1\rose\0083.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0084.jpg,dataset1\rose\0084.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0085.jpg,dataset1\rose\0085.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0086.jpg,dataset1\rose\0086.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0087.jpg,dataset1\rose\0087.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0088.jpg,dataset1\rose\0088.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0089.jpg,dataset1\rose\0089.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0090.jpg,dataset1\rose\0090.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0091.jpg,dataset1\rose\0091.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0092.jpg,dataset1\rose\0092.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0093.jpg,dataset1\rose\0093.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0094.jpg,dataset1\rose\0094.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0095.jpg,dataset1\rose\0095.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0096.jpg,dataset1\rose\0096.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0097.jpg,dataset1\rose\0097.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0098.jpg,dataset1\rose\0098.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0099.jpg,dataset1\rose\0099.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0100.jpg,dataset1\rose\0100.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0101.jpg,dataset1\rose\0101.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0102.jpg,dataset1\rose\0102.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0103.jpg,dataset1\rose\0103.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0104.jpg,dataset1\rose\0104.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0105.jpg,dataset1\rose\0105.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0106.jpg,dataset1\rose\0106.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0107.jpg,dataset1\rose\0107.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0108.jpg,dataset1\rose\0108.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0109.jpg,dataset1\rose\0109.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0110.jpg,dataset1\rose\0110.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0111.jpg,dataset1\rose\0111.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0112.jpg,dataset1\rose\0112.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0113.jpg,dataset1\rose\0113.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0114.jpg,dataset1\rose\0114.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0115.jpg,dataset1\rose\0115.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0116.jpg,dataset1\rose\0116.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0117.jpg,dataset1\rose\0117.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0118.jpg,dataset1\rose\0118.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0119.jpg,dataset1\rose\0119.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0120.jpg,dataset1\rose\0120.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0121.jpg,dataset1\rose\0121.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0122.jpg,dataset1\rose\0122.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0123.jpg,dataset1\rose\0123.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0124.jpg,dataset1\rose\0124.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0125.jpg,dataset1\rose\0125.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0126.jpg,dataset1\rose\0126.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0127.jpg,dataset1\rose\0127.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0128.jpg,dataset1\rose\0128.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0129.jpg,dataset1\rose\0129.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0130.jpg,dataset1\rose\0130.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0131.jpg,dataset1\rose\0131.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0132.jpg,dataset1\rose\0132.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0133.jpg,dataset1\rose\0133.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0134.jpg,dataset1\rose\0134.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0135.jpg,dataset1\rose\0135.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0136.jpg,dataset1\rose\0136.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0137.jpg,dataset1\rose\0137.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0138.jpg,dataset1\rose\0138.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0139.jpg,dataset1\rose\0139.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0140.jpg,dataset1\rose\0140.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0141.jpg,dataset1\rose\0141.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0142.jpg,dataset1\rose\0142.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0143.jpg,dataset1\rose\0143.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0144.jpg,dataset1\rose\0144.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0145.jpg,dataset1\rose\0145.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0146.jpg,dataset1\rose\0146.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0147.jpg,dataset1\rose\0147.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0148.jpg,dataset1\rose\0148.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0149.jpg,dataset1\rose\0149.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0150.jpg,dataset1\rose\0150.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0151.jpg,dataset1\rose\0151.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0152.jpg,dataset1\rose\0152.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0153.jpg,dataset1\rose\0153.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0154.jpg,dataset1\rose\0154.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0155.jpg,dataset1\rose\0155.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0156.jpg,dataset1\rose\0156.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0157.jpg,dataset1\rose\0157.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0158.jpg,dataset1\rose\0158.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0159.jpg,dataset1\rose\0159.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0160.jpg,dataset1\rose\0160.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0161.jpg,dataset1\rose\0161.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0162.jpg,dataset1\rose\0162.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0163.jpg,dataset1\rose\0163.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0164.jpg,dataset1\rose\0164.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0165.jpg,dataset1\rose\0165.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0166.jpg,dataset1\rose\0166.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0167.jpg,dataset1\rose\0167.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0168.jpg,dataset1\rose\0168.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0169.jpg,dataset1\rose\0169.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0170.jpg,dataset1\rose\0170.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0171.jpg,dataset1\rose\0171.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0172.jpg,dataset1\rose\0172.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0173.jpg,dataset1\rose\0173.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0174.jpg,dataset1\rose\0174.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0175.jpg,dataset1\rose\0175.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0176.jpg,dataset1\rose\0176.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0177.jpg,dataset1\rose\0177.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0178.jpg,dataset1\rose\0178.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0179.jpg,dataset1\rose\0179.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0180.jpg,dataset1\rose\0180.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0181.jpg,dataset1\rose\0181.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0182.jpg,dataset1\rose\0182.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0183.jpg,dataset1\rose\0183.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0184.jpg,dataset1\rose\0184.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0185.jpg,dataset1\rose\0185.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0186.jpg,dataset1\rose\0186.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0187.jpg,dataset1\rose\0187.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0188.jpg,dataset1\rose\0188.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0189.jpg,dataset1\rose\0189.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0190.jpg,dataset1\rose\0190.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0191.jpg,dataset1\rose\0191.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0192.jpg,dataset1\rose\0192.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0193.jpg,dataset1\rose\0193.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0194.jpg,dataset1\rose\0194.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0195.jpg,dataset1\rose\0195.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0196.jpg,dataset1\rose\0196.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0197.jpg,dataset1\rose\0197.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0198.jpg,dataset1\rose\0198.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0199.jpg,dataset1\rose\0199.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0200.jpg,dataset1\rose\0200.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0201.jpg,dataset1\rose\0201.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0202.jpg,dataset1\rose\0202.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0203.jpg,dataset1\rose\0203.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0204.jpg,dataset1\rose\0204.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0205.jpg,dataset1\rose\0205.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0206.jpg,dataset1\rose\0206.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0207.jpg,dataset1\rose\0207.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0208.jpg,dataset1\rose\0208.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0209.jpg,dataset1\rose\0209.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0210.jpg,dataset1\rose\0210.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0211.jpg,dataset1\rose\0211.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0212.jpg,dataset1\rose\0212.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0213.jpg,dataset1\rose\0213.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0214.jpg,dataset1\rose\0214.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0215.jpg,dataset1\rose\0215.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0216.jpg,dataset1\rose\0216.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0217.jpg,dataset1\rose\0217.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0218.jpg,dataset1\rose\0218.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0219.jpg,dataset1\rose\0219.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0220.jpg,dataset1\rose\0220.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0221.jpg,dataset1\rose\0221.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0222.jpg,dataset1\rose\0222.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0223.jpg,dataset1\rose\0223.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0224.jpg,dataset1\rose\0224.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0225.jpg,dataset1\rose\0225.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0226.jpg,dataset1\rose\0226.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0227.jpg,dataset1\rose\0227.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0228.jpg,dataset1\rose\0228.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0229.jpg,dataset1\rose\0229.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0230.jpg,dataset1\rose\0230.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0231.jpg,dataset1\rose\0231.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0232.jpg,dataset1\rose\0232.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0233.jpg,dataset1\rose\0233.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0234.jpg,dataset1\rose\0234.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0235.jpg,dataset1\rose\0235.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0236.jpg,dataset1\rose\0236.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0237.jpg,dataset1\rose\0237.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0238.jpg,dataset1\rose\0238.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0239.jpg,dataset1\rose\0239.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0240.jpg,dataset1\rose\0240.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0241.jpg,dataset1\rose\0241.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0242.jpg,dataset1\rose\0242.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0243.jpg,dataset1\rose\0243.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0244.jpg,dataset1\rose\0244.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0245.jpg,dataset1\rose\0245.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0246.jpg,dataset1\rose\0246.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0247.jpg,dataset1\rose\0247.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0248.jpg,dataset1\rose\0248.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0249.jpg,dataset1\rose\0249.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0250.jpg,dataset1\rose\0250.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0251.jpg,dataset1\rose\0251.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0252.jpg,dataset1\rose\0252.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0253.jpg,dataset1\rose\0253.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0254.jpg,dataset1\rose\0254.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0255.jpg,dataset1\rose\0255.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0256.jpg,dataset1\rose\0256.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0257.jpg,dataset1\rose\0257.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0258.jpg,dataset1\rose\0258.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0259.jpg,dataset1\rose\0259.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0260.jpg,dataset1\rose\0260.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0261.jpg,dataset1\rose\0261.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0262.jpg,dataset1\rose\0262.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0263.jpg,dataset1\rose\0263.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0264.jpg,dataset1\rose\0264.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0265.jpg,dataset1\rose\0265.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0266.jpg,dataset1\rose\0266.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0267.jpg,dataset1\rose\0267.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0268.jpg,dataset1\rose\0268.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0269.jpg,dataset1\rose\0269.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0270.jpg,dataset1\rose\0270.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0271.jpg,dataset1\rose\0271.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0272.jpg,dataset1\rose\0272.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0273.jpg,dataset1\rose\0273.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0274.jpg,dataset1\rose\0274.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0275.jpg,dataset1\rose\0275.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0276.jpg,dataset1\rose\0276.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0277.jpg,dataset1\rose\0277.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0278.jpg,dataset1\rose\0278.jpg,rose
C:\Users\nasty\ap_laba2\dataset1\rose\0279.jpg,dataset1\rose\0279.jpg,rose
